old_geoid,new_geoid,area_weight
003400,003400,0.06322277804926793
003900,003900,0.0781304742871913
003600,003600,0.2514752710249849
003700,003700,0.2631949854904513
003700,023802,0.018440136982675357
003700,023804,0.013238285796045492
003700,023803,0.014377998415076717
003800,003800,0.20115421153948218
004001,004001,0.5859101013942394
004200,004200,0.2603610633871353
004300,004300,0.23999837060178028
077907,077907,0.9999557996851854
023500,025301,0.0012437286440432401
023500,023502,0.29168512986047507
023500,023501,0.3463003012964857
023500,020500,0.002050570617730324
024000,024000,0.07580570278508382
024300,024300,0.6316199264090028
024300,024500,0.004162609223341936
024300,048302,0.0032806851188477925
077908,077908,0.9950064997799427
077908,077904,0.0049881806756966384
024500,024300,0.0016827781809033524
024500,024500,0.39081429579612154
024500,024900,0.016635748890131117
024500,024700,0.00727693901006112
024900,024900,0.32367042695421144
024900,024700,0.001473673738538431
025100,025100,0.12365158084551885
025500,025500,0.13946519878070915
025700,025700,0.23142841397665173
097204,097204,0.999999999999647
100801,100801,0.9992445022598264
102900,102900,0.9812495796971944
102900,098700,0.010023024382190457
102900,099100,0.00872739592033442
021100,021100,0.17758698915668167
025800,025800,0.5539792168611639
026000,026000,0.5227252834177419
026200,026200,0.4759886926247999
026300,026300,0.3136464397533056
026300,026502,0.0016065007594578968
026500,026300,0.010312861649061936
026500,026501,0.1460091222593518
026500,026502,0.09312545644048141
026600,026600,0.5104710539983051
048500,048500,0.6298768094503574
107202,100801,0.0018257041171984571
107202,107202,0.9739385371494949
107202,071600,0.017873721725855638
107202,107201,0.00625728951791634
103201,100801,0.006695161304315443
103201,103201,0.9860983378709255
103201,103202,0.007206500824759038
103202,103202,0.9999999115853575
103900,103900,0.9882613920826308
103900,094500,0.005797204322246481
103900,097300,0.0028859461935838433
103900,098100,0.0029552804170757275
104700,104700,0.9996968901152833
105900,105900,0.9999691424999095
027000,027000,0.5796771498260155
027100,027101,0.15157494533060228
027100,027102,0.08248947742044975
027200,027200,0.5375133301969349
027300,027301,0.1306072995247455
027300,027302,0.1549252916319583
027400,027400,0.4680154878548199
027800,027800,0.5183199951238475
027800,028803,0.00517356658768887
027900,027900,0.0285024579614781
028000,027800,0.001950860007903544
028000,028000,0.4577310313424669
028100,028100,0.3130594811310244
028200,028200,0.4316802943849184
028200,028400,0.0015874444602050264
028400,028400,0.24964462141538524
094500,094500,0.9873927126219387
094500,097300,0.011400437170500259
094700,094500,0.0010672766545542348
094700,094700,0.9979229550029604
096400,096400,0.8807035771078588
096400,097207,0.007083699270995367
096400,095400,0.003240866672691199
062000,062000,0.621806811613633
097300,103900,0.0035978184585556817
097300,097300,0.995420657410419
098100,098100,0.9951484762378832
098100,098700,0.004268408362534756
098700,098700,0.9965737216681522
098700,099100,0.0030638296974821594
099100,098700,0.0022047175194270406
099100,099100,0.9976480686415076
099200,099200,0.8656005140070455
099200,097206,0.0019650187500345776
099200,097202,0.0027695835540325086
080800,080800,0.9999999999988072
099900,099900,0.9629633383220582
099900,099705,0.037023545394040895
123700,123700,0.9999999999995322
112300,112300,0.9999999999993349
109700,109700,0.9992915351410125
109900,109700,0.008950983200409471
109900,109900,0.9881263004132318
109900,113900,0.001939009674119769
112900,112900,0.9999996412857054
113900,113900,0.9951432297757874
113900,113300,0.004067199327897254
114100,114100,0.9990825840965072
029100,029100,0.4229827420115027
029100,029300,0.0015904578648554134
029300,029100,0.00401790997013097
029300,029300,0.31705331459585484
029500,029500,0.25303385332635464
029700,029700,0.17677353464995588
028700,028700,0.09555205443647219
028800,028803,0.2842075294001204
028800,028802,0.15436781833234486
028800,028801,0.18388292624252459
028900,028900,0.32063690999864847
029900,029700,0.0020819026122279255
029900,029900,0.2705082883033944
029900,030904,0.0029357917440765123
029900,030905,0.0014225515638736756
030902,029700,0.004957021068963604
030902,030904,0.001803308132573573
030902,030906,0.5273561158211134
030902,030905,0.46560997134434956
031700,031700,0.9917308760758815
031700,033100,0.0033344786107258975
031700,030904,0.00480092609271985
032000,032000,0.9912897977344434
032000,066404,0.008159472779343178
032800,032800,0.45413961520956464
032800,035800,0.002337585673039577
032900,032900,0.7362125239112538
033000,032800,0.0011051528086630862
033000,033000,0.5387754676218397
033100,031700,0.014350553274204111
033100,033100,0.9422880013883693
033100,037100,0.0012702576181222473
033100,035700,0.005424795380000995
033100,000100,0.00515852337497299
033100,038302,0.0029965869365606084
033402,033403,0.33624312796838224
033402,033404,0.31904883202216644
033402,033405,0.34470192896122365
033900,033900,0.45489754588085457
039400,039400,0.507202247984674
039800,039800,0.3309521633119762
040100,040102,0.22885198473696908
040100,040101,0.16225414858787393
040200,040200,0.5250135086287854
040400,040400,0.55839933410522
040400,044400,0.004193973683587014
040500,040502,0.21728878774973798
040500,040501,0.2660788531204937
040700,040702,0.18175952301765225
040700,040701,0.09967680070148098
041100,041100,0.34890579465132665
041100,041300,0.0021198330934381095
041400,041400,0.47554049286468253
041500,041500,0.363865721372688
042700,042700,0.53186235892048
042700,043900,0.0010704509281881823
043400,043400,0.2951605056542918
045000,045000,0.4307535727644798
045400,045400,0.6340784538869217
045500,045500,0.9717556980123107
045500,071702,0.028138691191941824
045600,045600,0.1393588407334624
045600,045800,0.0013571408717070758
044602,044602,0.9980184854214867
044602,044800,0.0019815145753214205
044800,044800,0.34732165853674085
045800,045800,0.3645905871771904
045800,046600,0.002158437524706174
046200,046200,0.9931498178135073
046200,046600,0.00681077696316834
046300,046300,0.9999796010583757
046400,045800,0.004662205064441921
046400,046400,0.5609677752595228
046400,046600,0.006423710534989756
046400,047200,0.0012278174405085786
046400,127700,0.010516137066140227
046500,046500,0.9999752586145221
046600,045800,0.001569713614168052
046600,046200,0.0022790101879526866
046600,046400,0.0027755484513167995
046600,046600,0.9806006584334531
046600,047200,0.012775069312697267
046700,046300,0.001110896925620937
046700,046700,0.9988872820258978
046800,046800,0.444447031632986
046900,046902,0.5066990601516008
046900,046901,0.4932912025630847
047000,047000,0.5577671191635293
047100,047100,0.9999999999975414
047200,047200,0.7469976152246303
047200,127700,0.0010940185114074578
047300,047300,0.9996599659229561
047500,047300,0.039609442091332374
047500,047500,0.9156302281830955
047500,068700,0.001859609307364403
047500,068300,0.04266908509240618
004500,004500,0.4444283253792229
004700,004700,0.11401891574527936
005000,005000,0.07855776271656971
005300,005300,0.026159567556958016
005400,005400,0.38485853827711397
005400,008600,0.004859728140701899
005800,005000,0.0013802807282697529
005800,005800,0.6082352171596216
005800,008600,0.0031985862670442524
005800,008800,0.005388740269873925
006100,006100,0.3364572839579142
030904,031700,0.002327387589473497
030904,030904,0.9975639968778435
043702,045500,0.0016253680238290781
043702,043702,0.9387613111877174
043702,043701,0.00758217810453681
043702,074500,0.00551307887926255
043702,071900,0.04575540725249115
044301,044301,0.9999999999985044
036500,036500,0.9999451927994365
036600,036600,0.6102886983620638
036600,036800,0.001872424962438717
035800,035800,0.4441942585869285
036700,036700,0.4127492149612905
036800,036600,0.0016664308316964977
036800,036800,0.5717019253804979
037100,037100,0.3127339973995907
037300,037100,0.0017448960408627731
037300,037300,0.4026688274260682
037300,038100,0.0071890214391866075
037300,038302,0.0033559605257621095
037600,039400,0.0011939076035581131
037600,037600,0.8568743185177643
038100,038100,0.4182833210815493
007700,007700,0.1196616521223471
008600,005400,0.002372036111657681
008600,008600,0.5171464325492955
008700,008700,0.38812534043760155
008700,008100,0.0017416641693537413
008700,015200,0.022388321233037755
008700,023802,0.004843567959320429
008800,008800,0.5250254506484493
008800,086400,0.02101913764579155
007900,007900,0.13997655387009136
008100,008100,0.08543527399824508
008300,008300,0.3299793038907795
009100,009100,0.47673216878451785
009100,015200,0.007222685492170457
009100,016200,0.03331889286054173
009400,009400,0.36112812125994215
009400,004002,0.0026503573319191314
009500,009500,0.4889164976577958
009600,009600,0.1645106095174127
009800,009800,0.13833962355156076
009900,009900,0.10243191394746039
009900,024000,0.01289289754468696
009900,016200,0.0011560385202390114
034700,033100,0.002263876538098969
