median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units,borough,year,geoid
1328.0,55797.0,4257,206,1398,166,Bronx,2009,000200
1430.0,70486.0,4625,86,1470,116,Bronx,2009,000400
569.0,8554.0,572,8,308,25,Bronx,2009,001100
816.0,30438.0,5228,249,2017,57,Bronx,2009,001600
1079.0,40284.0,949,224,386,17,Bronx,2009,001700
371.0,22827.0,8578,73,3120,84,Bronx,2009,002000
368.0,12873.0,4492,41,1906,85,Bronx,2009,002300
520.0,15202.0,5401,155,2059,207,Bronx,2009,002500
459.0,20294.0,2763,0,1083,97,Bronx,2009,002701
595.0,20475.0,5372,12,1592,135,Bronx,2009,002702
818.0,45809.0,5806,82,2437,55,Bronx,2009,002800
878.0,33424.0,1388,0,533,70,Bronx,2009,003100
518.0,11053.0,3152,36,1244,59,Bronx,2009,003300
675.0,18066.0,3331,67,1254,128,Bronx,2009,003500
652.0,36292.0,7460,54,2894,41,Bronx,2009,003600
1041.0,14000.0,414,0,142,0,Bronx,2009,003700
950.0,46532.0,1625,127,424,0,Bronx,2009,003800
798.0,22780.0,7594,213,2503,317,Bronx,2009,003900
848.0,43976.0,1501,213,624,23,Bronx,2009,004001
403.0,16193.0,6097,32,2072,280,Bronx,2009,004100
579.0,25114.0,4663,34,1955,306,Bronx,2009,004300
382.0,19813.0,4430,108,1699,78,Bronx,2009,004400
710.0,32625.0,1726,19,711,78,Bronx,2009,004600
333.0,13047.0,5000,33,1871,41,Bronx,2009,004700
936.0,26678.0,3995,38,1311,139,Bronx,2009,004800
288.0,9194.0,356,0,158,37,Bronx,2009,004900
877.0,27654.0,10326,42,3759,355,Bronx,2009,005000
750.0,28295.0,1989,49,857,100,Bronx,2009,005200
774.0,14006.0,3642,45,1683,220,Bronx,2009,005302
971.0,30185.0,6253,0,1958,258,Bronx,2009,005400
907.0,28984.0,2189,13,1123,205,Bronx,2009,005600
796.0,52438.0,895,22,273,38,Bronx,2009,005700
909.0,28844.0,5155,170,1937,41,Bronx,2009,005901
960.0,34510.0,2231,91,1161,127,Bronx,2009,005902
889.0,25962.0,1232,12,419,37,Bronx,2009,006000
650.0,32599.0,3870,22,2110,117,Bronx,2009,006100
547.0,16922.0,6407,64,2496,117,Bronx,2009,006200
1168.0,41013.0,3807,57,1364,175,Bronx,2009,006400
795.0,20025.0,4737,95,1740,190,Bronx,2009,006500
973.0,34817.0,3786,191,1515,202,Bronx,2009,006600
504.0,15620.0,7355,102,2353,112,Bronx,2009,006700
1100.0,52964.0,3189,27,1240,89,Bronx,2009,006800
569.0,18194.0,5311,157,2145,199,Bronx,2009,006900
1078.0,41042.0,4443,161,1368,105,Bronx,2009,007000
333.0,28125.0,2323,27,569,0,Bronx,2009,007100
981.0,36308.0,4876,138,1733,118,Bronx,2009,007200
694.0,24696.0,3558,226,1295,71,Bronx,2009,007300
765.0,47813.0,3613,41,1471,126,Bronx,2009,007400
538.0,26483.0,4248,10,1731,182,Bronx,2009,007500
910.0,53254.0,1931,0,567,18,Bronx,2009,007700
1067.0,38953.0,5650,287,2192,294,Bronx,2009,007800
500.0,16512.0,6491,37,2338,140,Bronx,2009,007900
792.0,22585.0,6697,102,2271,243,Bronx,2009,008300
1247.0,80000.0,2755,32,851,95,Bronx,2009,008400
790.0,25115.0,5296,89,1702,160,Bronx,2009,008500
483.0,24250.0,4183,183,1506,39,Bronx,2009,008600
763.0,23496.0,5299,6,1674,128,Bronx,2009,008700
392.0,22259.0,3353,87,1188,23,Bronx,2009,008800
658.0,22558.0,2607,0,1102,89,Bronx,2009,008900
1133.0,41827.0,6160,503,1842,155,Bronx,2009,009200
1412.0,48797.0,1958,147,494,11,Bronx,2009,009400
1135.0,52888.0,5414,222,1982,170,Bronx,2009,009800
873.0,23651.0,5765,25,1881,166,Bronx,2009,009900
1139.0,7647.0,1486,63,132,18,Bronx,2009,010500
242.0,9806.0,434,115,311,9,Bronx,2009,011000
872.0,10066.0,1144,55,498,16,Bronx,2009,011501
865.0,22660.0,4523,0,1515,132,Bronx,2009,011502
1224.0,71846.0,5185,4167,1964,118,Bronx,2009,011800
850.0,17563.0,5278,64,1946,140,Bronx,2009,011900
891.0,37516.0,2786,0,1039,124,Bronx,2009,012101
702.0,16250.0,1635,0,506,12,Bronx,2009,012102
551.0,14048.0,3161,46,1262,60,Bronx,2009,012300
904.0,30781.0,2826,82,1030,79,Bronx,2009,012500
575.0,15720.0,2419,231,856,36,Bronx,2009,012701
756.0,23214.0,1941,0,536,0,Bronx,2009,012702
711.0,18789.0,3642,26,1468,198,Bronx,2009,012901
608.0,15875.0,621,13,174,0,Bronx,2009,012902
1216.0,76638.0,1212,822,471,21,Bronx,2009,013000
749.0,21394.0,4425,14,1496,96,Bronx,2009,013100
1194.0,69527.0,6493,2845,2481,245,Bronx,2009,013200
437.0,20496.0,6469,0,2265,64,Bronx,2009,013300
536.0,18000.0,3251,87,1352,170,Bronx,2009,013500
761.0,21862.0,4506,43,1770,181,Bronx,2009,013700
1154.0,63913.0,2031,1185,818,114,Bronx,2009,013800
833.0,26563.0,992,0,392,64,Bronx,2009,013900
549.0,15317.0,2125,4,847,119,Bronx,2009,014100
925.0,11750.0,761,0,322,69,Bronx,2009,014300
457.0,25417.0,5015,217,2005,178,Bronx,2009,014400
636.0,18151.0,5439,37,1933,127,Bronx,2009,014500
393.0,15865.0,10614,7,3686,150,Bronx,2009,014700
715.0,21667.0,3713,25,1573,173,Bronx,2009,014900
983.0,27000.0,5261,67,1894,224,Bronx,2009,015100
941.0,19809.0,3737,8,1327,100,Bronx,2009,015300
1065.0,85577.0,840,384,369,61,Bronx,2009,015400
766.0,17878.0,3535,37,1144,45,Bronx,2009,015500
1263.0,55789.0,1470,654,606,58,Bronx,2009,015600
938.0,27778.0,3276,32,1243,153,Bronx,2009,015700
1057.0,36488.0,1377,806,631,36,Bronx,2009,015800
1653.0,73015.0,5192,3930,2280,223,Bronx,2009,016000
683.0,18374.0,4433,89,1851,142,Bronx,2009,016100
1315.0,65331.0,1794,1475,617,0,Bronx,2009,016200
1019.0,69432.0,1200,947,463,26,Bronx,2009,016400
770.0,13164.0,1191,22,490,81,Bronx,2009,016500
975.0,87230.0,2655,1369,912,73,Bronx,2009,016600
906.0,34464.0,1817,0,580,45,Bronx,2009,016700
659.0,15625.0,1926,15,523,0,Bronx,2009,016900
614.0,14862.0,4120,0,1811,189,Bronx,2009,017300
680.0,15280.0,6502,38,2748,220,Bronx,2009,017500
883.0,19829.0,7833,239,2964,477,Bronx,2009,017700
912.0,26371.0,9321,115,2774,76,Bronx,2009,017900
932.0,29988.0,8481,0,2832,213,Bronx,2009,018100
894.0,29540.0,8046,83,3319,131,Bronx,2009,018300
978.0,57024.0,4432,2955,1638,40,Bronx,2009,018400
802.0,29815.0,7970,35,2975,197,Bronx,2009,018900
638.0,19182.0,4953,32,1895,87,Bronx,2009,019300
1362.0,38815.0,1520,359,693,16,Bronx,2009,019400
898.0,30744.0,6354,328,2655,235,Bronx,2009,019500
965.0,44500.0,820,78,257,19,Bronx,2009,019600
919.0,24965.0,8438,209,2282,41,Bronx,2009,019700
