geoid,borough,year,median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units
000100,Brooklyn,2009,1580.1025634850942,91379.56302601857,4860,3184,2478,227
000101,Brooklyn,2009,1558.5285412391083,88402.33070967332,646,416,322,29
000102,Brooklyn,2009,1456.3708080139227,70809.059562456,303,168,130,12
000103,Brooklyn,2009,1545.560521210302,86231.55720011459,315,194,159,15
000104,Brooklyn,2009,1583.1807465618858,91641.64215548694,1040,682,531,49
000200,Bronx,2009,1198.0248728471433,53254.81397073939,8025,770,2589,299
000201,Manhattan,2009,443.6596067731288,18463.375533720086,3707,269,1279,32
000202,Manhattan,2009,496.5630731225297,30368.326048662155,6622,1814,2899,204
000300,Staten Island,2009,1040.1050049110854,48791.09101404473,1553,558,851,96
000301,Brooklyn,2009,1752.0,122520.0,5183,4155,2626,157
000400,Queens,2009,1304.1349920250893,67215.03155494845,9263,975,2861,215
000500,Brooklyn,2009,1268.5014611166653,71724.41683127564,5279,3344,3011,242
000501,Brooklyn,2009,1356.0,81600.0,429,336,263,19
000502,Brooklyn,2009,1356.0,81600.0,496,389,304,22
000600,Manhattan,2009,699.4425763083495,27638.916628080373,17257,2848,6800,399
000700,Brooklyn,2009,1399.4730124010875,79205.18352832415,8883,4907,5063,612
000701,Brooklyn,2009,1412.4297724242247,80168.21391412389,2540,1420,1444,173
000702,Brooklyn,2009,1407.1564268122213,79813.87712174666,3851,2141,2196,266
000800,Manhattan,2009,950.9145490080612,44618.96831672364,21293,4513,7826,537
000900,Brooklyn,2009,1591.9765764441654,100274.7624366136,7314,4091,3907,611
001000,Queens,2009,1103.0,46382.0,3196,800,1051,65
001001,Manhattan,2009,782.5741850514844,54205.200237349956,2441,1715,1087,20
001002,Manhattan,2009,462.5060507057196,18951.543387292153,7251,249,2592,70
001100,Bronx,2009,1086.7806724560232,38457.468937875754,2421,605,983,115
001200,Manhattan,2009,916.7734283711147,49234.86492171067,8558,3926,3214,173
001300,Brooklyn,2009,1716.0803332329526,97751.16668909106,5713,3550,3812,707
001400,Queens,2009,1151.0,51447.0,3722,949,1189,145
001401,Manhattan,2009,796.0,78883.0,3615,2616,1786,204
001402,Manhattan,2009,775.0,32692.0,3313,1273,1511,87
001501,Manhattan,2009,600.4417841972286,38204.732043607575,11124,3450,5044,422
001502,Manhattan,2009,1887.6774194002119,128760.23859431967,6881,4483,2747,349
001600,Bronx,2009,918.7483786439568,32250.363511300362,15245,1763,6005,413
001700,Staten Island,2009,1069.212381574139,48938.70560422939,1483,411,553,34
001800,Manhattan,2009,935.232893011061,45639.722867070246,3058,776,1251,150
001801,Queens,2009,992.6102305207038,48810.11804530068,798,224,327,37
001802,Manhattan,2009,955.5933064516129,47276.86161290323,1036,264,420,49
001803,Manhattan,2009,955.5933064516128,47276.86161290323,3194,814,1294,151
001804,Manhattan,2009,955.5933064516129,47276.86161290323,1700,434,689,81
001901,Bronx,2009,1146.3227970990613,55799.34660695599,1091,462,502,46
001902,Bronx,2009,1073.407644490586,42639.20183205093,2192,590,884,89
001903,Queens,2009,1155.2278717446582,56914.08937168957,3959,2050,2130,275
001904,Brooklyn,2009,1225.6180348421208,68743.31882861537,4884,3261,2911,332
002000,Manhattan,2009,498.6065395743333,25226.500760385523,9011,294,3112,167
002001,Manhattan,2009,729.6059665296158,40243.17846112698,7053,2193,2636,147
