geoid,borough,year,median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units
000100,Brooklyn,2009,1370.9107379835643,83015.65941675316,4733,3238,2363,233
000101,Queens,2009,1990.370822256534,107263.50917033994,655,390,347,27
000102,Queens,2009,1887.3424447640223,94153.79227754087,238,130,117,10
000103,Queens,2009,1985.637590047714,107584.29787026766,310,186,165,13
000104,Queens,2009,2001.0,108625.0,1109,665,591,46
000200,Bronx,2009,1328.2042249245956,55811.15070346678,3886,188,1275,151
000200,Brooklyn,2009,843.0,32841.0,1276,42,386,0
000200,Queens,2009,1172.029694403572,58636.08125272116,3042,574,983,156
000201,Manhattan,2009,440.1527586860419,18356.56672134698,3678,263,1266,31
000202,Manhattan,2009,486.35049219082555,30322.791116019755,6456,1780,2823,196
000300,Staten Island,2009,1040.0194360052149,48796.505258576006,1555,558,852,96
000301,Brooklyn,2009,1752.0,122520.0,5183,4155,2626,157
000400,Bronx,2009,1425.818672695674,69883.8478747721,4578,91,1457,117
000400,Queens,2009,1189.0,64969.0,4748,903,1420,97
000500,Manhattan,2009,1987.4765876613596,137039.4466229945,211,124,108,15
000501,Brooklyn,2009,1356.0,81600.0,2986,2340,1833,133
000502,Brooklyn,2009,1356.0,81600.0,3452,2706,2119,154
000600,Manhattan,2009,530.1145892282132,18205.104047772853,11375,749,4236,116
000600,Queens,2009,1294.0,48925.0,3304,523,1054,87
000600,Staten Island,2009,682.5555915359014,42727.38513502676,2469,1563,1464,193
000700,Brooklyn,2009,1595.0,114485.0,4071,3094,1944,162
000700,Manhattan,2009,2001.0000000000002,111752.87541046312,2989,1861,2009,259
000700,Staten Island,2009,896.3917591399452,39138.81514915652,4235,1031,2470,354
000701,Queens,2009,1341.2187304978197,65207.41102806126,1561,989,897,108
000702,Queens,2009,1305.0,62824.0,2312,1470,1335,163
000800,Manhattan,2009,778.7711276559979,30510.62462964504,12547,1132,4727,199
000800,Queens,2009,1237.0,66017.0,3334,641,1014,154
000800,Staten Island,2009,1167.0,63795.0,5433,2732,2086,182
000900,Brooklyn,2009,1688.729916176033,110263.8960105688,4154,3007,1973,129
000900,Manhattan,2009,2001.0,118813.1069494874,1225,720,994,297
000900,Staten Island,2009,1160.0,72143.0,1726,329,843,175
001000,Queens,2009,1103.0,46382.0,3196,800,1051,65
001001,Manhattan,2009,775.8002447635344,54868.002322649125,2354,1695,1047,16
001002,Manhattan,2009,428.1130848521288,16693.95192585604,7523,211,2705,69
001100,Brooklyn,2009,1171.0,73750.0,154,131,47,0
001100,Staten Island,2009,1162.0,41557.0,3765,983,1469,189
001200,Manhattan,2009,686.0,42910.0,4347,2457,1861,87
001200,Queens,2009,1155.0,55764.0,4211,1469,1353,86
001300,Brooklyn,2009,1309.255231909952,81668.65599346076,2196,1465,1092,97
001300,Manhattan,2009,2001.0000000000002,110366.74984594123,3477,2112,2715,613
001400,Queens,2009,1150.97465821428,51449.55057619803,3728,951,1191,145
001401,Manhattan,2009,796.0,78883.0,3615,2616,1786,204
001402,Manhattan,2009,775.0,32692.0,3313,1273,1511,87
001501,Brooklyn,2009,437.87056015971535,21286.7531663276,1502,224,933,316
001501,Manhattan,2009,757.3011337319924,57124.13610684106,6041,3259,2945,227
001502,Brooklyn,2009,1668.651731351538,40473.40680915088,432,84,234,75
001502,Manhattan,2009,2001.0,141292.03472074945,5951,4227,2401,290
001600,Bronx,2009,816.0,30438.0,5228,249,2017,57
001600,Manhattan,2009,859.0,25979.0,7177,809,3182,346
001600,Queens,2009,1262.0,51651.0,2821,703,797,9
001700,Staten Island,2009,1051.7672364494404,51831.97469967967,1753,515,619,44
001800,Manhattan,2009,919.31915881859,47405.28679364768,9154,2243,3664,377
001800,Queens,2009,1018.1987612721703,47310.77479635651,2705,497,988,17
001800,Staten Island,2009,1068.3884161297353,40645.52499300795,391,223,229,94
001801,Brooklyn,2009,1246.6160954799734,53343.24259721814,82,31,34,3
001901,Bronx,2009,1053.2763018443472,39209.59819573504,490,111,198,9
001901,Queens,2009,1474.0,77367.0,173,118,103,9
001902,Bronx,2009,822.4483121847857,26096.33613812419,951,119,425,27
001902,Queens,2009,1492.826242460104,78712.55913143423,138,88,80,9
001903,Bronx,2009,587.4949865949943,10042.577076432066,236,3,125,10
001903,Queens,2009,1316.520063079518,68584.80866432206,425,241,241,22
002000,Brooklyn,2009,1041.8157238036572,30607.434667512225,1627,86,494,30
002000,Manhattan,2009,377.09620669205344,17249.72152502752,6142,104,2061,148
002000,Queens,2009,966.8422717632103,54869.68927941898,1531,270,494,55
002001,Bronx,2009,372.01674485859354,22862.028294658132,4085,35,1486,40
002001,Staten Island,2009,1076.2671989131102,62677.8108630148,2851,2059,1190,74
002002,Bronx,2009,371.0,22827.0,4443,38,1616,44
002002,Staten Island,2009,1108.8476094460802,77470.29857803351,3115,2376,1307,187
002100,Brooklyn,2009,2001.0,148593.79389077632,2512,1567,1196,193
002100,Manhattan,2009,2001.0,209125.0,3884,3046,1998,289
002100,Staten Island,2009,1029.2507473097237,38305.140882541025,3610,1144,1493,113
002200,Brooklyn,2009,945.8199791646837,37935.82436935932,5630,1718,1720,114
002200,Queens,2009,1134.0,53158.0,2288,730,894,42
002201,Manhattan,2009,817.0,42583.0,6701,1174,2771,137
002202,Manhattan,2009,1647.0,84327.0,2028,1042,995,114
002300,Bronx,2009,368.0,12873.0,4492,41,1906,85
002300,Brooklyn,2009,392.0,20995.0,4318,71,1598,0
002400,Bronx,2009,927.2585778747347,42644.15660698024,145,4,51,4
002400,Manhattan,2009,389.0,16084.0,2627,63,994,66
002400,Queens,2009,1164.9397410499666,68625.63557028997,2316,385,801,118
002500,Bronx,2009,520.0,15202.0,5396,155,2057,207
002500,Manhattan,2009,406.5696059909003,15432.467487747836,5852,180,1946,40
002500,Queens,2009,406.2941606925368,17104.04441491572,6889,245,3045,136
002600,Queens,2009,1100.0,72283.0,2147,620,563,9
002601,Manhattan,2009,730.0,34712.0,3952,750,1527,148
002602,Manhattan,2009,1576.0,57880.0,4603,2720,2106,135
002700,Manhattan,2009,748.0,53963.0,1383,233,616,33
002700,Staten Island,2009,1341.0,42163.0,1624,637,390,88
002701,Bronx,2009,459.0,20294.0,2708,0,1062,95
002702,Bronx,2009,595.0,20475.0,5307,12,1573,133
002800,Bronx,2009,818.0,45809.0,5768,81,2421,55
002800,Manhattan,2009,833.0,40045.0,6636,2244,3280,166
002800,Queens,2009,1152.3096472650293,43985.782341723134,3608,715,1003,52
002900,Staten Island,2009,676.0,30046.0,5484,298,2064,277
002901,Brooklyn,2009,310.5753027050169,10237.372258134326,3002,11,1342,289
002901,Manhattan,2009,773.0,26902.0,3416,250,1187,59
002902,Manhattan,2009,772.9091543428589,27000.334973115805,2912,214,1013,51
003000,Brooklyn,2009,1205.0,59554.0,1888,1106,722,24
003000,Queens,2009,1262.4504793945484,43486.6785396405,1507,318,525,36
003001,Manhattan,2009,1314.0,54113.0,4418,2316,2468,245
003002,Manhattan,2009,815.0,36146.0,3404,1975,2065,98
003100,Bronx,2009,878.0,33424.0,1374,0,528,69
003100,Manhattan,2009,1975.5971647224976,101198.45881187226,2863,1927,791,71
003100,Queens,2009,1108.078967984682,39434.04335570216,1349,413,600,42
003101,Brooklyn,2009,1036.6641273907533,65419.78497151861,1450,283,443,43
003102,Brooklyn,2009,1036.0,65446.0,1322,258,403,39
003200,Manhattan,2009,1127.0,50466.0,8851,5955,5092,186
003200,Queens,2009,1149.0,62353.0,1378,323,495,73
003300,Bronx,2009,518.6800227556491,11056.831791703438,3156,36,1245,59
003300,Brooklyn,2009,1557.0,67250.0,2040,1009,1000,19
003300,Manhattan,2009,2001.0,163889.0,4978,4419,2611,300
003300,Staten Island,2009,1272.0,77438.0,3289,1950,1466,84
003301,Queens,2009,1429.394005138117,67970.82308694489,351,74,148,45
003302,Queens,2009,1130.7912382292589,40158.36416540099,1614,336,504,18
003400,Brooklyn,2009,1129.0,62083.0,3288,2011,1513,108
003400,Manhattan,2009,1437.0,59028.0,6429,4246,4094,393
003400,Queens,2009,1340.0,46537.0,2338,107,773,82
003500,Bronx,2009,675.0,18066.0,3331,67,1254,128
003500,Brooklyn,2009,850.0,51440.0,1308,248,812,93
003600,Brooklyn,2009,1098.0,56167.0,4602,3369,1931,79
003600,Queens,2009,1386.0,43803.0,3272,466,1099,224
003600,Staten Island,2009,1257.2013771171655,64419.92990606749,2491,1207,891,64
003601,Manhattan,2009,778.0,32805.0,3389,801,1488,210
003602,Manhattan,2009,1389.0,44637.0,2370,1333,1391,130
003700,Bronx,2009,1041.0,14000.0,410,0,141,0
003700,Brooklyn,2009,1445.0,57609.0,241,117,166,37
003700,Manhattan,2009,1610.287168013637,90334.64789415116,2201,1789,1480,281
003700,Queens,2009,637.3281916041996,20207.459928728516,86,25,37,0
003800,Bronx,2009,950.0,46532.0,1625,127,424,0
003800,Brooklyn,2009,1235.0,86908.0,1587,1531,755,82
003800,Manhattan,2009,1272.0,53405.0,8550,5919,5769,772
003800,Queens,2009,1157.0,53343.0,2029,493,736,71
003900,Bronx,2009,798.0,22780.0,7594,213,2503,317
003900,Brooklyn,2009,793.0,53482.0,2056,1022,1128,155
003900,Manhattan,2009,1200.647611054872,68562.75447015052,5157,3884,2719,281
003900,Queens,2009,859.0,37222.0,1287,332,495,41
003900,Staten Island,2009,1097.176791563331,57458.20475009499,3556,2195,1174,67
004001,Bronx,2009,848.0,43976.0,1501,213,624,23
004001,Manhattan,2009,1543.0,80825.0,4364,3253,2432,408
004001,Queens,2009,1290.0,49420.0,1970,545,624,75
004001,Staten Island,2009,537.0,32372.0,3676,391,1274,95
004002,Manhattan,2009,1543.0,80825.0,4119,3070,2295,385
004002,Queens,2009,1181.7518731243924,77862.95511470153,1264,347,429,77
004002,Staten Island,2009,537.0,32372.0,4125,439,1430,106
004003,Staten Island,2009,537.0,32372.0,2390,254,828,62
004004,Staten Island,2009,545.9512375178317,33836.91451424866,3965,553,1394,106
004100,Bronx,2009,403.0,16193.0,6097,32,2072,280
004100,Brooklyn,2009,1479.0,108500.0,3582,2328,1615,133
004100,Manhattan,2009,868.0,26938.0,8620,2346,3728,484
004200,Bronx,2009,653.8842782832226,36172.86812992109,7710,57,2997,52
004200,Manhattan,2009,1996.0,101886.0,3665,2512,1656,93
004200,Queens,2009,1101.0,49844.0,3883,913,1248,161
004300,Bronx,2009,579.0,25114.0,4663,34,1955,306
004300,Brooklyn,2009,1410.0,99028.0,3129,1904,1360,104
004300,Manhattan,2009,1396.0,63631.0,4422,2534,2658,192
004300,Queens,2009,450.0,14716.0,2612,310,1105,23
004400,Bronx,2009,385.40939927740817,19866.292754546914,4455,108,1708,79
004400,Brooklyn,2009,975.0,87250.0,1182,979,540,79
004400,Manhattan,2009,1414.2976521763503,91735.99813931354,18118,13446,9122,380
004401,Queens,2009,1156.0,43846.0,3310,494,1030,36
004500,Brooklyn,2009,1835.0,105952.0,3958,3266,1933,23
004500,Manhattan,2009,2001.0,124441.0,1492,784,572,21
004500,Queens,2009,650.0,55694.0,3027,1863,1575,86
004600,Bronx,2009,710.0,32625.0,1470,16,605,66
004600,Brooklyn,2009,1095.0,83500.0,1056,870,454,0
004700,Brooklyn,2009,1556.9806453998608,77369.62631456048,1451,972,608,59
004700,Manhattan,2009,2001.0,88304.0,2518,2141,1650,259
004700,Queens,2009,529.0,36344.0,4164,947,1927,34
004700,Staten Island,2009,1200.13671451767,65967.17342074779,3760,2991,1095,38
004800,Bronx,2009,937.6926596189572,26949.30030941408,4012,38,1319,139
004800,Manhattan,2009,1534.0,91875.0,7027,5194,4416,415
004900,Brooklyn,2009,1417.0,79962.0,2771,1695,1179,156
004900,Manhattan,2009,1671.0,102202.0,4559,3918,3050,425
005000,Brooklyn,2009,1362.0,73333.0,2502,2091,1087,81
005000,Manhattan,2009,1804.1507325648354,117657.60852706582,6025,5009,3844,443
005000,Queens,2009,1187.0,58125.0,13,6,5,0
005000,Staten Island,2009,708.0,60357.0,3331,2452,1472,153
005001,Bronx,2009,877.0,27654.0,4773,19,1737,164
005002,Bronx,2009,877.0,27654.0,5553,23,2022,191
005100,Bronx,2009,333.3592320832317,12971.09408691713,5528,35,2090,82
005100,Brooklyn,2009,1613.6957676119791,79508.47724169711,1995,1157,993,41
005100,Queens,2009,1104.0,33000.0,2023,656,790,20
005200,Bronx,2009,750.6907728753838,28472.91464910987,1994,49,859,99
005200,Manhattan,2009,2000.367316449399,126496.56135613921,4929,3838,1937,349
005200,Queens,2009,1273.0,52632.0,3010,575,826,54
005201,Brooklyn,2009,601.0,26971.0,1840,1648,1166,9
005202,Brooklyn,2009,1168.0,66136.0,2475,2239,1544,160
005300,Bronx,2009,774.0,14006.0,1063,13,491,64
005300,Queens,2009,1156.0,54261.0,5923,3012,2447,38
005301,Brooklyn,2009,958.8912659374251,56676.69400903907,1403,607,654,91
005302,Brooklyn,2009,1115.839235357476,73382.65893288079,593,311,297,55
005303,Brooklyn,2009,1451.162986627264,125860.22053103731,13,10,9,3
005400,Bronx,2009,970.9112281801648,30184.240820183313,6148,0,1925,254
005400,Brooklyn,2009,1161.0,57396.0,3270,2361,1798,54
005400,Manhattan,2009,1692.0,109638.0,4487,3394,2702,340
005400,Queens,2009,1121.011859619935,56226.32408632366,5223,910,1735,136
005500,Queens,2009,1169.0,50268.0,1215,170,394,0
005501,Manhattan,2009,1639.0,120795.0,4081,3001,2714,631
005502,Manhattan,2009,2001.0,109885.0,1805,1352,1250,278
005600,Bronx,2009,907.0,28984.0,2189,13,1123,205
005600,Manhattan,2009,2001.0,148524.4341709535,2782,1831,1921,365
005601,Brooklyn,2009,1160.0,58333.0,2724,2367,1479,65
005602,Brooklyn,2009,984.0,45795.0,1626,1358,946,73
005700,Manhattan,2009,2001.0,116619.0,2660,2414,1643,98
005700,Queens,2009,1088.0,37474.0,3726,1566,1867,98
005800,Brooklyn,2009,1066.0,47083.0,3533,2457,1739,9
005800,Manhattan,2009,2001.0,104745.0,3112,2266,2211,324
005800,Queens,2009,1187.5602902500982,58109.232428857315,5539,2804,2095,197
005900,Brooklyn,2009,1265.145629272995,53683.40099015096,1207,660,583,118
005900,Manhattan,2009,1456.0,108807.0,5417,4378,3554,407
005900,Queens,2009,1173.0,53250.0,4024,2508,1973,129
005901,Staten Island,2009,1142.0,66458.0,1923,1713,857,69
005902,Bronx,2009,959.3641868380925,34439.36240440455,2218,90,1150,125
005902,Staten Island,2009,1142.0,66458.0,918,818,409,33
006000,Bronx,2009,902.3480841643844,29907.43947448689,1661,29,580,51
006000,Brooklyn,2009,1085.0,49524.0,2695,1592,1253,150
006000,Manhattan,2009,1526.3534981015869,94913.64320945657,5036,4032,2725,193
006100,Bronx,2009,650.0500712174755,32605.803855366426,3867,22,2108,117
006100,Manhattan,2009,2001.0,112100.0,4924,3847,2505,433
006100,Queens,2009,1200.0,56439.0,6152,3139,2831,115
006200,Bronx,2009,550.6656463849608,17079.318517554668,6309,64,2457,116
006200,Brooklyn,2009,1030.0,52326.0,3105,1958,1270,34
006200,Manhattan,2009,1796.4581331826566,78019.33620428386,3129,1671,972,63
006201,Queens,2009,1319.7489785149348,55601.70995760468,3198,2108,1536,70
006202,Queens,2009,1283.81463515813,53929.350796579565,9202,5787,4330,196
006300,Brooklyn,2009,1704.74062601756,78100.84882907105,1843,1219,1035,25
006300,Manhattan,2009,1624.0,123629.0,7310,6448,4458,476
006300,Queens,2009,1225.0,47080.0,5926,3462,2883,222
006301,Bronx,2009,877.7454670345194,32677.743132365074,6565,199,2456,98
006400,Bronx,2009,1147.2226264114126,40222.22271930841,3910,58,1405,176
006400,Brooklyn,2009,1088.0,60864.0,3707,2447,1556,26
006400,Manhattan,2009,1601.374429331917,91039.85641341211,8376,6362,5349,527
006400,Staten Island,2009,284.0,44913.0,3536,2419,1479,142
006500,Bronx,2009,795.0,20025.0,4722,95,1734,189
006500,Brooklyn,2009,1720.1194723426522,84911.59233454449,5433,4376,2810,257
006500,Manhattan,2009,1646.0,73022.0,8589,6968,3840,590
006501,Queens,2009,1194.0,50601.0,3563,2008,1611,86
006502,Queens,2009,1194.0,50601.0,4919,2771,2224,118
006600,Brooklyn,2009,1118.0,48345.0,3350,2726,1646,157
006600,Manhattan,2009,1207.0,69537.0,13103,7998,6962,543
006700,Bronx,2009,504.0,15620.0,7355,102,2353,112
006700,Brooklyn,2009,1969.0,99511.0,3579,2860,1780,172
006700,Manhattan,2009,1855.0,73604.0,6342,5180,4063,213
006700,Staten Island,2009,915.5486437291306,92988.95637383236,3093,2426,1241,55
006800,Bronx,2009,1100.0,52964.0,3148,27,1224,88
006800,Brooklyn,2009,1080.0,46292.0,4882,2936,1828,92
006800,Manhattan,2009,1965.0,80808.0,5501,4380,4613,848
006900,Bronx,2009,569.0,18194.0,5311,157,2145,199
006900,Manhattan,2009,1999.381169107975,134633.99847278334,2499,1932,1398,162
006900,Queens,2009,1405.0,53629.0,5408,1772,1790,40
006901,Brooklyn,2009,1851.0,84831.0,1444,976,750,95
