geoid,borough,year,major_alterations,new_buildings,total_permits,minor_alterations
1,BRONX,2009,0,0,6,6
1,BRONX,2011,0,1,20,19
1,BRONX,2012,0,0,10,10
1,BRONX,2013,0,0,5,5
1,BRONX,2014,0,0,13,13
1,BRONX,2015,0,0,2,2
1,BRONX,2016,0,0,2,2
1,BRONX,2017,0,0,2,2
1,BRONX,2019,0,0,13,13
1,BRONX,2021,0,0,3,3
1,BROOKLYN,2009,2,0,29,27
1,BROOKLYN,2010,0,1,16,15
1,BROOKLYN,2011,1,1,32,30
1,BROOKLYN,2012,3,36,68,29
1,BROOKLYN,2013,1,2,56,53
1,BROOKLYN,2014,5,2,66,59
1,BROOKLYN,2015,2,2,43,39
1,BROOKLYN,2016,5,1,60,54
1,BROOKLYN,2017,15,0,85,70
1,BROOKLYN,2018,4,0,37,33
1,BROOKLYN,2019,2,0,24,22
1,BROOKLYN,2020,1,0,43,42
1,BROOKLYN,2021,0,0,5,5
1,BROOKLYN,2023,0,0,3,3
1,QUEENS,2009,2,4,45,39
1,QUEENS,2010,1,22,60,37
1,QUEENS,2011,2,4,78,72
1,QUEENS,2012,1,1,49,47
1,QUEENS,2013,7,2,94,85
1,QUEENS,2014,0,5,75,70
1,QUEENS,2015,1,0,55,54
1,QUEENS,2016,15,0,72,57
1,QUEENS,2017,6,9,99,84
1,QUEENS,2018,10,17,90,63
1,QUEENS,2019,1,8,48,39
1,QUEENS,2020,2,1,39,36
1,QUEENS,2021,0,0,6,6
1,QUEENS,2022,0,0,3,3
1,QUEENS,2023,0,0,2,2
10,QUEENS,2009,0,0,4,4
10,QUEENS,2010,0,0,3,3
10,QUEENS,2011,0,0,3,3
10,QUEENS,2012,0,0,6,6
10,QUEENS,2013,3,0,10,7
10,QUEENS,2014,2,0,4,2
10,QUEENS,2015,0,0,5,5
10,QUEENS,2016,2,0,13,11
10,QUEENS,2017,1,0,3,2
10,QUEENS,2018,0,3,11,8
10,QUEENS,2019,3,0,4,1
10,QUEENS,2020,0,2,11,9
10,QUEENS,2022,0,0,7,7
100,BROOKLYN,2009,3,0,9,6
100,BROOKLYN,2010,1,0,14,13
100,BROOKLYN,2011,4,0,24,20
100,BROOKLYN,2012,7,0,22,15
100,BROOKLYN,2013,3,0,24,21
100,BROOKLYN,2014,10,0,34,24
100,BROOKLYN,2015,5,0,30,25
100,BROOKLYN,2016,2,0,21,19
100,BROOKLYN,2017,9,0,30,21
100,BROOKLYN,2018,5,0,25,20
100,BROOKLYN,2019,8,0,19,11
100,BROOKLYN,2020,2,0,21,19
100,BROOKLYN,2022,0,0,1,1
100,MANHATTAN,2009,6,0,218,212
100,MANHATTAN,2010,0,0,276,276
100,MANHATTAN,2011,11,0,258,247
100,MANHATTAN,2012,6,0,226,220
100,MANHATTAN,2013,9,4,267,254
100,MANHATTAN,2014,2,8,219,209
100,MANHATTAN,2015,4,0,276,272
100,MANHATTAN,2016,10,0,244,234
100,MANHATTAN,2017,10,0,207,197
100,MANHATTAN,2018,16,0,271,255
100,MANHATTAN,2019,0,5,170,165
100,MANHATTAN,2020,1,0,81,80
100,MANHATTAN,2021,2,0,12,10
100,MANHATTAN,2022,1,0,4,3
100,QUEENS,2009,2,0,3,1
100,QUEENS,2010,1,0,14,13
100,QUEENS,2011,3,0,8,5
100,QUEENS,2012,2,0,5,3
100,QUEENS,2013,0,0,4,4
100,QUEENS,2014,1,0,9,8
100,QUEENS,2015,1,0,10,9
100,QUEENS,2016,0,0,18,18
100,QUEENS,2017,2,1,31,28
100,QUEENS,2018,0,4,18,14
100,QUEENS,2019,0,0,8,8
100,QUEENS,2020,0,0,7,7
100,QUEENS,2021,0,0,6,6
100,QUEENS,2022,0,0,8,8
100,QUEENS,2023,0,0,8,8
1001,MANHATTAN,2009,0,0,8,8
1001,MANHATTAN,2010,0,0,18,18
1001,MANHATTAN,2011,0,0,16,16
1001,MANHATTAN,2012,0,0,12,12
1001,MANHATTAN,2013,0,0,12,12
1001,MANHATTAN,2014,0,0,14,14
1001,MANHATTAN,2015,0,0,21,21
1001,MANHATTAN,2016,0,0,5,5
1001,MANHATTAN,2017,0,0,21,21
1001,MANHATTAN,2018,0,0,7,7
1001,MANHATTAN,2019,0,0,1,1
1001,MANHATTAN,2020,0,0,5,5
1002,MANHATTAN,2009,0,0,1,1
1002,MANHATTAN,2010,0,0,4,4
1002,MANHATTAN,2011,0,0,4,4
1002,MANHATTAN,2012,0,0,3,3
1002,MANHATTAN,2013,0,0,2,2
1002,MANHATTAN,2014,0,0,3,3
1002,MANHATTAN,2015,0,0,18,18
1002,MANHATTAN,2016,91,0,104,13
1002,MANHATTAN,2017,0,4,11,7
1002,MANHATTAN,2018,0,0,5,5
1002,MANHATTAN,2019,0,0,3,3
1004,BROOKLYN,2010,0,0,3,3
1004,BROOKLYN,2011,0,0,2,2
1004,BROOKLYN,2012,0,0,1,1
1004,BROOKLYN,2014,0,0,3,3
1004,BROOKLYN,2016,0,0,2,2
1004,BROOKLYN,2017,1,0,3,2
1004,BROOKLYN,2019,0,0,1,1
1004,BROOKLYN,2020,3,0,7,4
1004,BROOKLYN,2021,0,0,6,6
1004,BROOKLYN,2022,0,0,6,6
1004,BROOKLYN,2023,0,0,11,11
1006,BROOKLYN,2013,0,0,2,2
1006,BROOKLYN,2015,0,0,3,3
1006,BROOKLYN,2016,0,0,7,7
1006,BROOKLYN,2017,0,0,4,4
1006,BROOKLYN,2018,0,0,5,5
1006,BROOKLYN,2019,0,0,2,2
1006,BROOKLYN,2020,0,0,6,6
1006,BROOKLYN,2021,0,0,9,9
1006,BROOKLYN,2022,0,0,6,6
1006,BROOKLYN,2023,0,0,9,9
1008,BROOKLYN,2009,0,0,4,4
1008,BROOKLYN,2010,0,0,1,1
1008,BROOKLYN,2011,1,0,2,1
1008,BROOKLYN,2012,0,0,2,2
1008,BROOKLYN,2014,0,0,1,1
1008,BROOKLYN,2015,0,0,2,2
1008,BROOKLYN,2016,2,0,8,6
1008,BROOKLYN,2017,0,0,1,1
1008,BROOKLYN,2018,0,0,1,1
1008,BROOKLYN,2019,0,0,9,9
1008,BROOKLYN,2020,0,0,5,5
1008,BROOKLYN,2021,0,0,5,5
1008,BROOKLYN,2022,0,0,3,3
1008,BROOKLYN,2023,0,0,11,11
100801,QUEENS,2009,0,0,4,4
100801,QUEENS,2010,0,0,6,6
100801,QUEENS,2011,1,0,8,7
100801,QUEENS,2012,2,0,4,2
100801,QUEENS,2013,0,0,2,2
100801,QUEENS,2014,0,0,5,5
100801,QUEENS,2015,1,0,10,9
100801,QUEENS,2016,0,2,9,7
100801,QUEENS,2017,0,0,5,5
100801,QUEENS,2018,0,0,10,10
100801,QUEENS,2019,1,0,4,3
100801,QUEENS,2020,0,0,6,6
100801,QUEENS,2021,0,0,9,9
100801,QUEENS,2022,0,0,10,10
100801,QUEENS,2023,0,0,6,6
100802,QUEENS,2009,4,1,16,11
100802,QUEENS,2010,1,0,19,18
100802,QUEENS,2011,0,1,12,11
100802,QUEENS,2012,0,0,8,8
100802,QUEENS,2013,0,0,8,8
100802,QUEENS,2014,0,3,28,25
100802,QUEENS,2015,2,8,35,25
100802,QUEENS,2016,0,2,27,25
100802,QUEENS,2017,0,7,28,21
100802,QUEENS,2018,0,1,31,30
100802,QUEENS,2019,5,26,43,12
100802,QUEENS,2020,2,3,45,40
100802,QUEENS,2021,1,0,27,26
100802,QUEENS,2022,0,0,29,29
100802,QUEENS,2023,0,0,13,13
101,BROOKLYN,2009,2,0,24,22
101,BROOKLYN,2010,0,0,6,6
101,BROOKLYN,2011,0,0,16,16
101,BROOKLYN,2012,5,0,37,32
101,BROOKLYN,2013,1,0,32,31
101,BROOKLYN,2014,3,3,18,12
101,BROOKLYN,2015,0,6,45,39
101,BROOKLYN,2016,0,0,46,46
101,BROOKLYN,2017,2,0,20,18
101,BROOKLYN,2018,5,7,30,18
101,BROOKLYN,2019,3,13,36,20
101,BROOKLYN,2020,7,0,13,6
101,BROOKLYN,2021,0,0,9,9
101,BROOKLYN,2022,0,0,11,11
101,MANHATTAN,2009,9,0,127,118
101,MANHATTAN,2010,6,0,207,201
101,MANHATTAN,2011,3,4,247,240
101,MANHATTAN,2012,2,0,191,189
101,MANHATTAN,2013,19,6,272,247
101,MANHATTAN,2014,4,0,204,200
101,MANHATTAN,2015,9,0,202,193
101,MANHATTAN,2016,7,0,242,235
101,MANHATTAN,2017,4,0,161,157
101,MANHATTAN,2018,4,0,199,195
101,MANHATTAN,2019,8,0,135,127
101,MANHATTAN,2020,3,0,54,51
101,MANHATTAN,2021,0,0,7,7
101,MANHATTAN,2022,0,0,2,2
101,MANHATTAN,2023,0,0,1,1
101,QUEENS,2009,2,0,9,7
101,QUEENS,2010,1,0,3,2
101,QUEENS,2011,3,0,11,8
101,QUEENS,2012,0,0,2,2
101,QUEENS,2013,0,0,9,9
101,QUEENS,2014,1,0,1,0
101,QUEENS,2015,5,0,7,2
101,QUEENS,2016,2,0,14,12
