borough,geoid,year,major_alterations,minor_alterations,new_buildings,total_permits
Bronx,000100,2009,0,9,0,9
Bronx,000100,2011,0,19,1,20
Bronx,000100,2012,0,10,0,10
Bronx,000100,2013,0,5,0,5
Bronx,000100,2014,0,16,0,16
Bronx,000100,2015,0,2,0,2
Bronx,000100,2016,0,2,0,2
Bronx,000100,2017,0,3,0,3
Bronx,000100,2019,0,13,0,13
Bronx,000100,2021,0,3,0,3
Bronx,000200,2009,0,6,0,6
Bronx,000200,2010,0,6,2,8
Bronx,000200,2011,2,3,1,6
Bronx,000200,2012,0,4,0,4
Bronx,000200,2013,0,2,0,2
Bronx,000200,2014,1,5,0,6
Bronx,000200,2015,0,8,0,8
Bronx,000200,2016,0,8,0,8
Bronx,000200,2017,4,10,4,18
Bronx,000200,2018,3,13,0,16
Bronx,000200,2019,0,8,0,8
Bronx,000200,2020,1,6,2,9
Bronx,000200,2021,0,12,0,12
Bronx,000200,2022,0,16,0,16
Bronx,000200,2023,0,8,0,8
Bronx,000400,2009,1,12,20,33
Bronx,000400,2010,2,8,3,13
Bronx,000400,2011,0,4,0,4
Bronx,000400,2012,2,10,0,12
Bronx,000400,2013,0,4,0,4
Bronx,000400,2014,0,34,0,34
Bronx,000400,2015,0,30,4,34
Bronx,000400,2016,2,21,0,23
Bronx,000400,2017,1,25,0,26
Bronx,000400,2018,1,21,2,24
Bronx,000400,2019,2,7,7,16
Bronx,000400,2020,4,23,0,27
Bronx,000400,2021,0,11,0,11
Bronx,000400,2022,0,10,0,10
Bronx,000400,2023,0,7,0,7
Bronx,001600,2009,1,5,2,8
Bronx,001600,2010,0,9,0,9
Bronx,001600,2011,0,4,0,4
Bronx,001600,2012,0,8,0,8
Bronx,001600,2013,1,7,0,8
Bronx,001600,2014,1,10,0,11
Bronx,001600,2015,0,17,0,17
Bronx,001600,2016,1,16,0,17
Bronx,001600,2017,0,19,3,22
Bronx,001600,2018,0,23,0,23
Bronx,001600,2019,2,11,0,13
Bronx,001600,2020,0,6,12,18
Bronx,001600,2021,0,12,0,12
Bronx,001600,2022,0,11,0,11
Bronx,001600,2023,0,4,0,4
Bronx,001901,2009,3,21,2,26
Bronx,001901,2010,0,13,0,13
Bronx,001901,2011,1,4,0,5
Bronx,001901,2013,0,4,1,5
Bronx,001901,2014,4,11,4,19
Bronx,001901,2015,0,11,8,19
Bronx,001901,2016,0,22,0,22
Bronx,001901,2017,0,21,1,22
Bronx,001901,2018,3,8,2,13
Bronx,001901,2019,0,6,2,8
Bronx,001901,2020,0,14,1,15
Bronx,001901,2021,0,11,0,11
Bronx,001901,2022,1,1,0,2
Bronx,001901,2023,0,1,0,1
Bronx,001902,2009,2,14,0,16
Bronx,001902,2010,3,27,0,30
Bronx,001902,2011,1,14,0,15
Bronx,001902,2012,7,21,0,28
Bronx,001902,2013,0,15,3,18
Bronx,001902,2014,6,25,0,31
Bronx,001902,2015,2,23,10,35
Bronx,001902,2016,4,35,0,39
Bronx,001902,2017,0,17,0,17
Bronx,001902,2018,0,17,0,17
Bronx,001902,2019,1,7,1,9
Bronx,001902,2020,0,17,1,18
Bronx,001902,2021,0,4,0,4
Bronx,001902,2022,0,2,0,2
Bronx,001902,2023,0,1,0,1
Bronx,001903,2009,0,22,0,22
Bronx,001903,2010,3,5,0,8
Bronx,001903,2011,0,11,0,11
Bronx,001903,2012,1,14,0,15
Bronx,001903,2013,2,25,5,32
Bronx,001903,2014,3,52,4,59
Bronx,001903,2015,1,33,0,34
Bronx,001903,2016,0,24,0,24
Bronx,001903,2017,7,26,0,33
Bronx,001903,2018,1,16,0,17
Bronx,001903,2019,0,3,0,3
Bronx,001903,2020,0,7,0,7
Bronx,001903,2021,0,3,0,3
Bronx,001903,2022,0,5,0,5
Bronx,001904,2015,0,1,0,1
Bronx,001904,2016,0,2,0,2
Bronx,002001,2009,0,4,0,4
Bronx,002001,2010,0,26,0,26
Bronx,002001,2011,0,5,0,5
Bronx,002001,2012,0,1,5,6
Bronx,002001,2013,0,31,0,31
Bronx,002001,2014,0,5,0,5
Bronx,002001,2015,0,5,0,5
Bronx,002001,2016,0,2,0,2
Bronx,002001,2017,0,2,0,2
Bronx,002001,2018,0,7,23,30
Bronx,002001,2019,0,15,5,20
Bronx,002002,2010,0,6,0,6
Bronx,002002,2011,0,6,0,6
Bronx,002002,2012,2,2,0,4
Bronx,002002,2013,0,5,0,5
Bronx,002002,2014,0,1,0,1
Bronx,002002,2015,0,5,0,5
Bronx,002002,2016,2,6,1,9
Bronx,002002,2017,0,6,0,6
Bronx,002002,2018,0,15,0,15
Bronx,002002,2019,0,4,0,4
Bronx,002002,2020,0,5,0,5
Bronx,002002,2021,0,9,0,9
Bronx,002002,2022,0,5,0,5
Bronx,002002,2023,0,7,0,7
Bronx,002300,2012,0,1,0,1
Bronx,002300,2013,1,1,0,2
Bronx,002300,2014,0,6,0,6
Bronx,002300,2015,0,4,0,4
Bronx,002300,2016,0,6,0,6
Bronx,002300,2017,0,2,0,2
Bronx,002300,2018,0,3,0,3
Bronx,002300,2020,0,7,0,7
Bronx,002400,2010,0,0,4,4
Bronx,002400,2011,0,2,0,2
Bronx,002400,2013,0,1,0,1
Bronx,002400,2015,0,1,0,1
Bronx,002400,2019,0,1,1,2
Bronx,002500,2009,1,10,0,11
Bronx,002500,2010,0,15,0,15
Bronx,002500,2011,0,13,0,13
Bronx,002500,2012,1,30,0,31
Bronx,002500,2013,0,13,0,13
Bronx,002500,2014,0,38,0,38
Bronx,002500,2015,2,6,0,8
Bronx,002500,2016,2,15,2,19
Bronx,002500,2017,1,10,0,11
Bronx,002500,2018,0,37,0,37
Bronx,002500,2019,3,6,0,9
Bronx,002500,2020,5,8,0,13
Bronx,002500,2022,0,2,0,2
Bronx,002701,2009,1,2,0,3
Bronx,002701,2010,0,3,0,3
Bronx,002701,2011,0,2,0,2
Bronx,002701,2012,0,2,0,2
Bronx,002701,2013,0,3,0,3
Bronx,002701,2014,0,4,0,4
Bronx,002701,2015,0,2,0,2
Bronx,002701,2016,0,2,0,2
Bronx,002701,2017,0,8,1,9
Bronx,002701,2018,1,5,0,6
Bronx,002701,2019,0,1,0,1
Bronx,002701,2020,0,3,0,3
Bronx,002702,2009,0,3,0,3
Bronx,002702,2010,0,12,0,12
Bronx,002702,2011,0,10,0,10
Bronx,002702,2012,0,15,2,17
Bronx,002702,2013,0,9,1,10
Bronx,002702,2014,0,3,0,3
Bronx,002702,2015,0,9,0,9
Bronx,002702,2016,2,12,0,14
Bronx,002702,2017,0,16,0,16
Bronx,002702,2018,1,9,0,10
Bronx,002702,2019,0,3,0,3
Bronx,002702,2020,2,5,0,7
Bronx,002702,2023,0,2,0,2
Bronx,002800,2009,0,6,0,6
Bronx,002800,2010,0,2,0,2
Bronx,002800,2011,2,7,0,9
Bronx,002800,2012,0,14,0,14
Bronx,002800,2013,0,5,1,6
Bronx,002800,2014,2,4,0,6
Bronx,002800,2015,8,11,4,23
Bronx,002800,2016,0,18,4,22
Bronx,002800,2017,0,9,0,9
Bronx,002800,2018,0,5,0,5
