borough,geoid,major_alterations,minor_alterations,new_buildings,total_permits,year
Bronx,100,0,28,1,29,2009
Bronx,200,2,15,3,20,2009
Bronx,400,3,24,23,50,2009
Bronx,1600,1,18,2,21,2009
Bronx,1901,4,38,2,44,2009
Bronx,1902,6,55,0,61,2009
Bronx,1903,3,38,0,41,2009
Bronx,2001,0,35,0,35,2009
Bronx,2002,0,12,0,12,2009
Bronx,2400,0,2,4,6,2009
Bronx,2500,1,38,0,39,2009
Bronx,2701,1,7,0,8,2009
Bronx,2702,0,25,0,25,2009
Bronx,2800,2,15,0,17,2009
Bronx,3100,0,19,0,19,2009
Bronx,3300,2,17,0,19,2009
Bronx,3500,1,17,2,20,2009
Bronx,3700,0,4,0,4,2009
Bronx,3800,0,1,0,1,2009
Bronx,3900,6,45,0,51,2009
Bronx,4001,0,5,0,5,2009
Bronx,4100,2,58,2,62,2009
Bronx,4200,6,38,0,44,2009
Bronx,4300,3,38,2,43,2009
Bronx,4400,1,7,4,12,2009
Bronx,4600,2,18,0,20,2009
Bronx,4800,0,17,0,17,2009
Bronx,5001,1,22,0,23,2009
Bronx,5002,4,17,0,21,2009
Bronx,5100,6,78,8,92,2009
Bronx,5200,1,15,0,16,2009
Bronx,5300,0,8,0,8,2009
Bronx,5400,1,34,0,35,2009
Bronx,5600,0,16,0,16,2009
Bronx,5902,0,11,0,11,2009
Bronx,6000,0,15,3,18,2009
Bronx,6100,2,38,5,45,2009
Bronx,6200,0,17,0,17,2009
Bronx,6301,10,152,2,164,2009
Bronx,6302,0,22,0,22,2009
Bronx,6400,3,8,0,11,2009
Bronx,6500,7,108,4,119,2009
Bronx,6700,6,39,1,46,2009
Bronx,6800,0,15,2,17,2009
Bronx,6900,1,33,0,34,2009
Bronx,7000,2,18,2,22,2009
Bronx,7100,3,40,2,45,2009
Bronx,7200,4,32,1,37,2009
Bronx,7300,1,31,4,36,2009
Bronx,7400,0,5,0,5,2009
Bronx,7500,0,36,1,37,2009
Bronx,7600,1,32,2,35,2009
Bronx,7700,1,16,0,17,2009
Bronx,7800,4,17,2,23,2009
Bronx,7900,2,45,2,49,2009
Bronx,8300,2,58,0,60,2009
Bronx,8400,3,0,0,3,2009
Bronx,8500,5,31,0,36,2009
Bronx,8600,0,14,0,14,2009
Bronx,8700,1,81,4,86,2009
Bronx,8900,5,23,0,28,2009
Bronx,9000,2,19,7,28,2009
Bronx,9200,2,49,4,55,2009
Bronx,9301,8,88,1,97,2009
Bronx,9302,10,51,4,65,2009
Bronx,9600,7,57,2,66,2009
Bronx,9800,4,20,5,29,2009
Bronx,11000,0,2,4,6,2009
