geoid,year,total_permits,major_alterations,minor_alterations,new_buildings
000100,2009,118,15,103,0
000100,2010,55,0,54,1
000100,2011,141,16,119,6
000100,2012,176,11,126,39
000100,2013,139,7,126,6
000100,2014,156,11,141,4
000100,2015,138,21,112,5
000100,2016,150,11,137,2
000100,2017,217,22,195,0
000100,2018,103,10,93,0
000100,2019,93,9,84,0
000100,2020,69,2,67,0
000100,2021,10,0,10,0
000100,2023,5,0,5,0
000101,2009,12,2,10,0
000101,2010,42,1,28,13
000101,2011,65,2,60,3
000101,2012,36,0,35,1
000101,2013,99,8,82,9
000101,2014,47,3,44,0
000101,2015,35,0,35,0
000101,2016,43,4,39,0
000101,2017,46,0,35,11
000101,2018,77,0,47,30
000101,2019,43,2,28,13
000101,2020,51,0,51,0
000101,2021,10,0,10,0
000101,2022,3,0,3,0
000101,2023,1,0,1,0
000102,2009,53,0,38,15
000102,2010,27,0,18,9
000102,2011,77,0,77,0
000102,2012,17,0,17,0
000102,2013,51,0,49,2
000102,2014,38,0,28,10
000102,2015,20,0,20,0
000102,2016,4,0,4,0
000102,2017,10,0,10,0
000102,2018,6,0,6,0
000102,2019,6,0,6,0
000102,2020,4,0,4,0
000103,2009,9,0,9,0
000103,2010,4,0,4,0
000103,2011,13,2,11,0
000103,2012,16,0,16,0
000103,2013,12,0,12,0
000103,2014,13,0,13,0
000103,2015,7,0,7,0
000103,2016,10,0,10,0
000103,2017,13,0,13,0
000103,2020,3,0,3,0
000104,2009,48,3,45,0
000104,2010,43,4,39,0
000104,2011,60,3,48,9
000104,2012,46,4,42,0
000104,2013,61,4,57,0
000104,2014,57,0,57,0
000104,2015,68,3,65,0
000104,2016,111,13,98,0
000104,2017,121,6,115,0
000104,2018,100,10,90,0
000104,2019,62,2,60,0
000104,2020,33,2,28,3
000104,2021,2,0,2,0
000104,2023,3,0,3,0
000200,2009,59,6,53,0
000200,2010,55,2,51,2
000200,2011,39,5,33,1
000200,2012,43,2,41,0
000200,2013,44,0,44,0
